,Time (sec),ADCBUF,Voltage (volts)
0,0.019110203,1023,4.995
1,0.047412872,1023,4.995
2,0.075968266,1023,4.995
3,0.104872227,1023,4.995
4,0.13352108,1023,4.995
5,0.161952734,1023,4.995
6,0.190472841,1023,4.995
7,0.219268084,1023,4.995
8,0.247763157,1023,4.995
9,0.275718927,1023,4.995
10,0.30464673,1023,4.995
11,0.333747625,1023,4.995
12,0.362350702,1023,4.995
13,0.390850544,1023,4.995
14,0.419444084,1023,4.995
15,0.447515965,1023,4.995
16,0.476647377,1023,4.995
17,0.505473375,1023,4.995
18,0.534090519,1023,4.995
19,0.562406063,1023,4.995
20,0.59109211,1023,4.995
21,0.619625568,1023,4.995
22,0.648342371,1023,4.995
23,0.67691946,1023,4.995
24,0.705627441,1023,4.995
25,0.734155893,1023,4.995
26,0.762044668,1023,4.995
27,0.790968657,1023,4.995
28,0.818865538,1023,4.995
29,0.848775625,1023,4.995
30,0.877287626,1023,4.995
31,0.905726433,1023,4.995
32,0.934272289,1023,4.995
33,0.962938547,1023,4.995
34,0.99162817,1023,4.995
35,1.020088196,1023,4.995
36,1.048603535,1012,4.941
37,1.076745033,984,4.805
38,1.105264664,957,4.673
39,1.133728266,937,4.575
40,1.162176371,920,4.492
41,1.190763235,909,4.438
42,1.219178438,907,4.429
43,1.247486591,906,4.424
44,1.275434971,907,4.429
45,1.303324699,909,4.438
46,1.333030701,909,4.438
47,1.361317635,910,4.443
48,1.389861345,905,4.419
49,1.418101072,910,4.443
50,1.446433783,909,4.438
51,1.475024939,909,4.438
52,1.50336957,904,4.414
53,1.531848431,909,4.438
54,1.560209036,909,4.438
55,1.588644266,904,4.414
56,1.617136955,898,4.385
57,1.64556694,877,4.282
58,1.673545837,850,4.15
59,1.701525688,829,4.048
60,1.729793787,817,3.989
61,1.757912397,807,3.94
62,1.785871267,803,3.921
63,1.813762188,800,3.906
64,1.843067646,803,3.921
65,1.871649504,803,3.921
66,1.899991035,804,3.926
67,1.927689791,804,3.926
68,1.957043648,804,3.926
69,1.985424519,805,3.931
70,2.012854576,805,3.931
71,2.042007685,800,3.906
72,2.070318222,805,3.931
73,2.09871459,804,3.926
74,2.12717247,804,3.926
75,2.155748844,803,3.921
76,2.18427372,801,3.911
77,2.212817192,795,3.882
78,2.241499424,782,3.818
79,2.26969099,765,3.735
80,2.297579288,751,3.667
81,2.327574968,730,3.564
82,2.35580945,699,3.413
83,2.384211063,664,3.242
84,2.412449837,642,3.135
85,2.440415859,636,3.105
86,2.469203472,640,3.125
87,2.497495413,644,3.145
88,2.526183605,642,3.135
89,2.554598093,645,3.149
90,2.582979918,645,3.149
91,2.61138916,645,3.149
92,2.639620304,645,3.149
93,2.668191195,645,3.149
94,2.696693182,645,3.149
95,2.725162029,645,3.149
96,2.75350666,645,3.149
97,2.781840324,644,3.145
98,2.809765339,645,3.149
99,2.839006901,645,3.149
100,2.867331266,645,3.149
101,2.894582748,643,3.14
102,2.922863722,645,3.149
103,2.952021122,645,3.149
104,2.980536461,644,3.145
105,3.008981228,643,3.14
106,3.036908865,642,3.135
107,3.064833641,634,3.096
108,3.093755245,627,3.062
109,3.122679234,610,2.979
110,3.151117802,588,2.871
111,3.179080248,566,2.764
112,3.208003044,549,2.681
113,3.235927582,545,2.661
114,3.264825821,544,2.656
115,3.292711258,547,2.671
116,3.321674824,547,2.671
117,3.349559546,547,2.671
118,3.378521919,545,2.661
119,3.407406807,547,2.671
120,3.435371399,547,2.671
121,3.464254141,544,2.656
122,3.492218494,547,2.671
123,3.521141768,548,2.676
124,3.549026728,547,2.671
125,3.577951431,547,2.671
126,3.6058743,545,2.661
127,3.634795427,548,2.676
128,3.663721085,548,2.676
129,3.692640781,548,2.676
130,3.720565319,545,2.661
131,3.749186754,548,2.676
132,3.778113365,545,2.661
133,3.806038141,547,2.671
134,3.835001707,548,2.676
135,3.863920927,548,2.676
136,3.891805887,548,2.676
137,3.92072773,548,2.676
138,3.949653864,548,2.676
139,3.978574991,548,2.676
140,4.006498814,548,2.676
141,4.035250902,548,2.676
142,4.064173698,545,2.661
143,4.092138529,549,2.681
144,4.121061802,549,2.681
145,4.148990154,549,2.681
146,4.177868605,548,2.676
147,4.206791401,547,2.671
148,4.234716654,546,2.666
149,4.263639688,545,2.661
150,4.29156661,542,2.646
151,4.320487261,515,2.515
152,4.348414421,493,2.407
153,4.377379179,479,2.339
154,4.405263424,463,2.261
155,4.434186459,445,2.173
156,4.46214962,419,2.046
157,4.490073919,391,1.909
158,4.518996,360,1.758
159,4.546883583,339,1.655
160,4.575838804,333,1.626
161,4.604727983,331,1.616
162,4.63255477,334,1.631
163,4.661150455,336,1.641
164,4.689080238,336,1.641
165,4.717763186,337,1.646
166,4.746202469,337,1.646
167,4.774655581,337,1.646
168,4.803617239,337,1.646
169,4.832700491,336,1.641
170,4.860865593,336,1.641
171,4.88939476,336,1.641
172,4.917204857,329,1.606
173,4.946085215,307,1.499
174,4.974445105,279,1.362
175,5.00269866,250,1.221
176,5.03146553,229,1.118
177,5.059317827,210,1.025
178,5.087649822,182,0.889
179,5.116172552,148,0.723
180,5.144496918,131,0.64
181,5.172904968,128,0.625
182,5.200912952,124,0.605
183,5.229164124,120,0.586
184,5.257747412,118,0.576
185,5.285655975,119,0.581
186,5.314582348,118,0.576
187,5.343586922,119,0.581
188,5.372014523,120,0.586
